Sample UID,Observation UID,Sample Site UID,Dummy Sample,Circulation,Category Group Name,Project Number,Project Title,Project Region,Project Group Name,Campaign Name,Sample Site Name,Latitude,Longitude,Altitude,WMO Code,Country ISO Code,Sample Site Type Name,Sample Name,Sample Date,Sample Date Accuracy,Lith Adj Code,Lith Adj Name,Lith Noun Code,Lith Noun Name,Period From,Period To,Min Depth,Max Depth,Sampling Method Code,Sampling Method Name,Sample Media Type Code,Sample Media Type Name,Sample Info,Measurand Symbol,Observation Method Code,Observation Method Name,Measurand Prefix,Measurand Amount,Measurand Uncertainty,Measurand Unit,Observation Date,Observation Date Accuracy,Field Preparation Method Name,Data Provider Code,Data Provider Name,Quality Flag Code,Quality Flag Name
f619672d-4765-499a-9800-880e9f90408a,151fdc01-cc7c-43e2-8361-f9ff3ba2f9a4,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197306,1973-06-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-06-01T00:00:00.0000000+02:00,1973-06-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-45,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
f619672d-4765-499a-9800-880e9f90408a,cb1261d5-b6b8-44f3-ae2a-a846edc17c1c,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197306,1973-06-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-06-01T00:00:00.0000000+02:00,1973-06-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,16.3,,hPa,,None,,42,Field measurement,,
f619672d-4765-499a-9800-880e9f90408a,6aa8e3b4-bc97-4000-9b6c-c825bd6d744d,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197306,1973-06-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-06-01T00:00:00.0000000+02:00,1973-06-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,78,,mm,,None,,42,Field measurement,,
f619672d-4765-499a-9800-880e9f90408a,6512552b-c43a-4119-8c9c-9a5b9c8d25c7,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197306,1973-06-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-06-01T00:00:00.0000000+02:00,1973-06-30T00:00:00.0000000+02:00,,,,,WPR,Rain,,TempAir,,,,12.6,,°C,,None,,42,Field measurement,,
b2dcbccd-fafb-43dd-ab84-bde90b1109f2,a9dcf3be-65d4-4014-a08a-30463ea4c4eb,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197307,1973-07-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-07-01T00:00:00.0000000+02:00,1973-07-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-51,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
b2dcbccd-fafb-43dd-ab84-bde90b1109f2,f9056d25-5ce1-404c-80c9-01d8c7f38d15,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197307,1973-07-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-07-01T00:00:00.0000000+02:00,1973-07-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,13.9,,hPa,,None,,42,Field measurement,,
b2dcbccd-fafb-43dd-ab84-bde90b1109f2,96e502d9-7f11-4cf3-8abc-6c7f5a30b6a1,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197307,1973-07-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-07-01T00:00:00.0000000+02:00,1973-07-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,53,,mm,,None,,42,Field measurement,,
b2dcbccd-fafb-43dd-ab84-bde90b1109f2,d3222501-cac2-4d5a-8510-2fde9faf4e9c,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197307,1973-07-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-07-01T00:00:00.0000000+02:00,1973-07-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,TempAir,,,,18.3,,°C,,None,,42,Field measurement,,
70fba766-c2c4-410f-9fb1-e4888576a95d,5bdcf111-6efa-4b3b-beed-015a6d1f19c5,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197308,1973-08-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-08-01T00:00:00.0000000+02:00,1973-08-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-43,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
70fba766-c2c4-410f-9fb1-e4888576a95d,eb161c1a-249b-4189-9f76-d81ff1c02fad,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197308,1973-08-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-08-01T00:00:00.0000000+02:00,1973-08-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,13.2,,hPa,,None,,42,Field measurement,,
70fba766-c2c4-410f-9fb1-e4888576a95d,6db74d69-f700-4459-ad38-8376eb009869,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197308,1973-08-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,1973-08-01T00:00:00.0000000+02:00,1973-08-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Precipitation,,,,59,,mm,,None,,42,Field measurement,,
